

*********************************************************************************************************************************
Wed Jun 29 14:55:23 2016
    PAM    Inst         Ch     NcId     Thld        M     NcOd          Thld    M      Nx     MaxLimit    MinLimit        DropCnt
	0		 0			 1		2		 50			2		1			 40		1		2		0600		0100			025
	0		 0			 2		3		 46			3		1			 40		1		2		0720		0113			034
	0		 0			 3		1		 30			1		1			 40		1		0		0720		0113			034
	0		 0			 4		2		 34			2		2			 35		2		0		0720		0113			034
	0		 0			 4		2		 34			2		2			 35		2		0		0720		0113			034

*********************************************************************************************************************************
Thu Jun 30 09:24:32 2016
    PAM    Inst         Ch     NcId     Thld        M     NcOd          Thld    M      Nx     MaxLimit    MinLimit        DropCnt
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
	0		 0			 1		1		  0			1		1			  0		1		1		0050		0025			000
